Construction,Who suggested it,Is it a construction?,Status (present in Constructicon or not),Comments,Scholarly description if there is any,Freq in the RNC
Х не зря притворяется,EV (O'Neill's plays),,,,,
Р - похуже всякого У-а,EV (O'Neill's plays),,,,,
Х-у У не Р,EV (O'Neill's plays),,,,,
Р ни одного слова,EV (O'Neill's plays),,,,,
Р даром что черномазый,EV (O'Neill's plays),,,,,
"Р, а то еще наставят",EV (O'Neill's plays),,,,,
"Р, чего доброго",EV (O'Neill's plays),,,,,
что Х туту болтает?,EV (O'Neill's plays),,,,,
Х уж лучше пойдет,EV (O'Neill's plays),,,,,
"глядишь, еще Р",EV (O'Neill's plays),,,,,
вот только бы Р,EV (O'Neill's plays),,,,,
погоди Р,EV (O'Neill's plays),,,,,
знаю не хуже Х-а,EV (O'Neill's plays),,,,,
Х больно хитер,EV (O'Neill's plays),,,,,
пусть Х чует что хочет,EV (O'Neill's plays),,,,,
"Р, что Х-у не почем",EV (O'Neill's plays),,,,,
не то что Х У-а боится,EV (O'Neill's plays),,,,,
"Х-а страх берет, что Р",EV (O'Neill's plays),,,,,
вот почему Х спит здесь,EV (O'Neill's plays),,,,,
Х и впрямь Р,EV (O'Neill's plays),,,,,
"за удачу, Х",EV (O'Neill's plays),,,,,
а не подбери Х У - Р,EV (O'Neill's plays),,,,,
да если бы Х и Р,EV (O'Neill's plays),,,,,
"скорей всего, X",EV (O'Neill's plays),,,,,
сейчас Х не хочет Р,EV (O'Neill's plays),,,,,
чего Х от У-а хочет,EV (O'Neill's plays),,,,,
"Х больше не бывает, вот У и Р",EV (O'Neill's plays),,,,,
у Х-а нет времени Р,EV (O'Neill's plays),,,,,
неужели Х не Р,EV (O'Neill's plays),,,,,
долго же Х не Р,EV (O'Neill's plays),,,,,
Р - целых четыре года,EV (O'Neill's plays),,,,,
вот был сюрприз - Р,EV (O'Neill's plays),,,,,
Х-то и ждать У перестали,EV (O'Neill's plays),,,,,
как Х Р,EV (O'Neill's plays),,,,,
"дай, Р",EV (O'Neill's plays),,,,,
"нет-нет, Р",EV (O'Neill's plays),,,,,
ни за что не Р,EV (O'Neill's plays),,,,,
а Х как думает,EV (O'Neill's plays),,,,,
Р хоть кусочек,EV (O'Neill's plays),,,,,
"похоже, Р",EV (O'Neill's plays),,,,,
но и Х Р,EV (O'Neill's plays),,,,,
Р уж не до смеху,EV (O'Neill's plays),,,,,
с каждым днем Р,EV (O'Neill's plays),,,,,
ничего Х не может с собой поделать,EV (O'Neill's plays),,,,,
"сдается, Р",EV (O'Neill's plays),,,,,
если бы Х мог,EV (O'Neill's plays),,,,,
Р - вот вернусь Р2,EV (O'Neill's plays),,,,,
Х так слаб - Р,EV (O'Neill's plays),,,,,
а как Х?,EV (O'Neill's plays),,,,,
еще бы не Inf,EV (O'Neill's plays),,,,,
Х-у так трудно было Inf,EV (O'Neill's plays),,,,,
"самое ужасное, Р",EV (O'Neill's plays),,,,,
со мной одной Р,EV (O'Neill's plays),,,,,
Р - бросить Х,EV (O'Neill's plays),,,,,
что Х имеет в виду?,EV (O'Neill's plays),,,,,
"так как же, Р?",EV (O'Neill's plays),,,,,
и чего Х суется?,EV (O'Neill's plays),,,,,
как Х-у это нравится?,EV (O'Neill's plays),,,,,
"Р, вот что…",EV (O'Neill's plays),,,,,
зачем Х-у надо знать?,EV (O'Neill's plays),,,,,
пошел бы Х лучше домой,EV (O'Neill's plays),,,,,
спроси Х-а сам,EV (O'Neill's plays),,,,,
так-то Х выполняет Р,EV (O'Neill's plays),,,,,
столько раз говорил,EV (O'Neill's plays),,,,,
Х - боится?,EV (O'Neill's plays),,,,,
"Р, вдруг Х еще сможет Р2?",EV (O'Neill's plays),,,,,
что же это за У?,EV (O'Neill's plays),,,,,
Х еще скажет?,EV (O'Neill's plays),,,,,
"нет, Х-у, брат, стыдно Р",EV (O'Neill's plays),,,,,
"нигде нет, кроме как Р",EV (O'Neill's plays),,,,,
Р - вот вернусь с У-а,EV (O'Neill's plays),,,,,
"Р кто, вроде Х-а",EV (O'Neill's plays),,,,,
Х и слышет о У-е,EV (O'Neill's plays),,,,,
на Х-а это не похоже,EV (O'Neill's plays),,,,,
Х скорее согласится Р,EV (O'Neill's plays),,,,,
Р - как паршивый пес,EV (O'Neill's plays),,,,,
день и ночь Р,EV (O'Neill's plays),,,,,
Х-у не одурачить У М-ами,EV (O'Neill's plays),,,,,
как Х смеет так дурно Р,EV (O'Neill's plays),,,,,
только-только Р,EV (O'Neill's plays),,,,,
чуть не Р,EV (O'Neill's plays),,,,,
Х не имеет права,EV (O'Neill's plays),,,,,
о каком еще У-е,EV (O'Neill's plays),,,,,
что Р?,EV (O'Neill's plays),,,,,
так-то Х говорит?,EV (O'Neill's plays),,,,,
какого черта Р,EV (O'Neill's plays),,,,,
сам Х не в себе,EV (O'Neill's plays),,,,,
"не скажу, чтоб Р",EV (O'Neill's plays),,,,,
У другое дело!,EV (O'Neill's plays),,,,,
"не пройдет и У-а, как Р",EV (O'Neill's plays),,,,,
Х чего ждет?,EV (O'Neill's plays),,,,,
"Х знал, что делал, когда Р",EV (O'Neill's plays),,,,,
"что ты, Х!",EV (O'Neill's plays),,,,,
не могу поверить Р,EV (O'Neill's plays),,,,,
Х не У мне,EV (O'Neill's plays),,,,,
"Х не тот, кем был Р",EV (O'Neill's plays),,,,,
при виде Х-а,EV (O'Neill's plays),,,,,
что Х тебе говорил?,EV (O'Neill's plays),,,,,
Х немного того,EV (O'Neill's plays),,,,,
Х к чему клонит?,EV (O'Neill's plays),,,,,
Р рискнем,EV (O'Neill's plays),,,,,
Р не такой человек,EV (O'Neill's plays),,,,,
"наше счастье, Р",EV (O'Neill's plays),,,,,
только бы Х не Р,EV (O'Neill's plays),,,,,
Х что - Р?,EV (O'Neill's plays),,,,,
Р сейчас же!,EV (O'Neill's plays),,,,,
вот У от Х-а,EV (O'Neill's plays),,,,,
"сказать не могу, как Р",EV (O'Neill's plays),,,,,
"Х уже Р, и вдруг У!",EV (O'Neill's plays),,,,,
какие у Х-а секреты?,EV (O'Neill's plays),,,,,
один У за другим Р,EV (O'Neill's plays),,,,,
ничего Х не Р,EV (O'Neill's plays),,,,,
Х-у с каждым днем хуже,EV (O'Neill's plays),,,,,
"но как же так, Х?",EV (O'Neill's plays),,,,,
Х один связывает Р,EV (O'Neill's plays),,,,,
Х прав,EV (O'Neill's plays),,,,,
Р ни разу не оставался,EV (O'Neill's plays),,,,,
А-й Х!,EV (O'Neill's plays),,,,,
Х все еще там,EV (O'Neill's plays),,,,,
чуть не умер в Р,EV (O'Neill's plays),,,,,
Х так и не узнал Р,EV (O'Neill's plays),,,,,
Х получили по заслугам,EV (O'Neill's plays),,,,,
уж не Х ли стучится в дверь,EV (O'Neill's plays),,,,,
все называют одно и то же - Р,EV (O'Neill's plays),,,,,
"а Х что, Р",EV (O'Neill's plays),,,,,
вроде Х-а?,EV (O'Neill's plays),,,,,
Imper же!,EV (O'Neill's plays),,,,,
так Х-у и надо,EV (O'Neill's plays),,,,,
Х-а бы он не провел,EV (O'Neill's plays),,,,,
уж Х заставил бы У-а,EV (O'Neill's plays),,,,,
мог бы и не Р,EV (O'Neill's plays),,,,,
"ну что ты, Х",EV (O'Neill's plays),,,,,
чего Х шляется,EV (O'Neill's plays),,,,,
какая у Х-а может быть цель?,EV (O'Neill's plays),,,,,
"нечего сказать, Р",EV (O'Neill's plays),,,,,
"Р, а Х не проговорится",EV (O'Neill's plays),,,,,
теперь-то Х не откажется,EV (O'Neill's plays),,,,,
"Х так кричит, что У услышит",EV (O'Neill's plays),,,,,
"если Х умерт, так Р",EV (O'Neill's plays),,,,,
"чтоб ровно через год, не то Р",EV (O'Neill's plays),,,,,
что Х казнит меня?,EV (O'Neill's plays),,,,,
на этот раз Х-у не удалось,EV (O'Neill's plays),,,,,
Х-у незачем скрытничать,EV (O'Neill's plays),,,,,
"все ли ровно, как Р",EV (O'Neill's plays),,,,,
как же Х не Р,EV (O'Neill's plays),,,,,
да как Х позволил?,EV (O'Neill's plays),,,,,
а если б и приказал?,EV (O'Neill's plays),,,,,
"ослеп Х, что ли?",EV (O'Neill's plays),,,,,
"Р, если еще не веришь",EV (O'Neill's plays),,,,,
"с дороги, Х!",EV (O'Neill's plays),,,,,
хватит ума не Р,EV (O'Neill's plays),,,,,
"что Х сказал тебе, У?",EV (O'Neill's plays),,,,,
это Х У-а Р,EV (O'Neill's plays),,,,,
да еще рассказал Р,EV (O'Neill's plays),,,,,
каким же Х был У-ом,EV (O'Neill's plays),,,,,
"это Х, У",EV (O'Neill's plays),,,,,
"Р, все кончено, Р2",EV (O'Neill's plays),,,,,
"давай-ка допьем, и Р",EV (O'Neill's plays),,,,,
"да это А-й Х, вот кто!",EV (O'Neill's plays),,,,,
"а ну-ка, Х, взгляни, Р",EV (O'Neill's plays),,,,,
это как будто в Р,EV (O'Neill's plays),,,,,
да и почерк вроде А-й,EV (O'Neill's plays),,,,,
"ну-ка, Х, налей нам",EV (O'Neill's plays),,,,,
что Х понимает,EV (O'Neill's plays),,,,,
все еще живет Р,EV (O'Neill's plays),,,,,
"до скорого, Х",EV (O'Neill's plays),,,,,
не забудь Р,EV (O'Neill's plays),,,,,
Х для У-а,EV (O'Neill's plays),,,,,
"господи спаси, Р",EV (O'Neill's plays),,,,,
такой уж Х А-й У,EV (O'Neill's plays),,,,,
"Х У-а все ждет, а У-а все нет",EV (O'Neill's plays),,,,,
"ни за что, Р",EV (O'Neill's plays),,,,,
что это с Х-ом?,EV (O'Neill's plays),,,,,
"в том-то и беда, Р",EV (O'Neill's plays),,,,,
"Р, вот и все",EV (O'Neill's plays),,,,,
"Р, может статься",EV (O'Neill's plays),,,,,
Р в такие годы,EV (O'Neill's plays),,,,,
держите Х подальше,EV (O'Neill's plays),,,,,
едва ли Х-у это придется по вкусу,EV (O'Neill's plays),,,,,
Р еще не родился на свете такой,EV (O'Neill's plays),,,,,
да Х и не думает,EV (O'Neill's plays),,,,,
Р не в силах Inf,EV (O'Neill's plays),,,,,
"думаешь, Х будет Р?",EV (O'Neill's plays),,,,,
Р и поминай как звали!,EV (O'Neill's plays),,,,,
мало Х-у на других баржах,EV (O'Neill's plays),,,,,
Мир клином на Х-е не сошелся,EV (O'Neill's plays),,,,,
на мой век вашего Х-а хватит,EV (O'Neill's plays),,,,,
Р носа не вешай,EV (O'Neill's plays),,,,,
Х так не думает,EV (O'Neill's plays),,,,,
Р очки не втирай!,EV (O'Neill's plays),,,,,
"ну что ж, Р",EV (O'Neill's plays),,,,,
"выходит, Х квиты",EV (O'Neill's plays),,,,,
Р не в обиде,EV (O'Neill's plays),,,,,
Р полезу в бутылку?,EV (O'Neill's plays),,,,,
"нет, это не для Х-а",EV (O'Neill's plays),,,,,
поставь-ка Х-у лучше еще кружечку,EV (O'Neill's plays),,,,,
"а Х, видно, не так уж плоха",EV (O'Neill's plays),,,,,
отродясь не Р,EV (O'Neill's plays),,,,,
нечего Р,EV (O'Neill's plays),,,,,
а что Х думает?,EV (O'Neill's plays),,,,,
больше суток Р,EV (O'Neill's plays),,,,,
так это Х?,EV (O'Neill's plays),,,,,
над чем это Х Р?,EV (O'Neill's plays),,,,,
Х думал про свое,EV (O'Neill's plays),,,,,
Х на У не в претензии,EV (O'Neill's plays),,,,,
Р как из больницы,EV (O'Neill's plays),,,,,
неужто Х в У-е,EV (O'Neill's plays),,,,,
до чего же взгляд у Х-а А-й,EV (O'Neill's plays),,,,,
лично Х Р,EV (O'Neill's plays),,,,,
мало мне У-а?,EV (O'Neill's plays),,,,,
Х-у тоже лучше Р,EV (O'Neill's plays),,,,,
"Р, и правда",EV (O'Neill's plays),,,,,
у Х-а все нервы издерганы,EV (O'Neill's plays),,,,,
"так расхворался, что Р",EV (O'Neill's plays),,,,,
но дело совсем не в том Р,EV (O'Neill's plays),,,,,
"но с чего это Х взял, что Р",EV (O'Neill's plays),,,,,
никакой Х не У,EV (O'Neill's plays),,,,,
Х и не знал Р,EV (O'Neill's plays),,,,,
кому Х это рассказывает,EV (O'Neill's plays),,,,,
Р не все дома,EV (O'Neill's plays),,,,,
"Р, хоть убей",EV (O'Neill's plays),,,,,
"вы что ж, Р?",EV (O'Neill's plays),,,,,
чего Х-у У?,EV (O'Neill's plays),,,,,
Р просто не повезло,EV (O'Neill's plays),,,,,
за кого вы Х-а принимаете?,EV (O'Neill's plays),,,,,
бросьте Х-а Inf,EV (O'Neill's plays),,,,,
больно Х равнодушен,EV (O'Neill's plays),,,,,
смотри не Р Х,EV (O'Neill's plays),,,,,
Х-у пора,EV (O'Neill's plays),,,,,
ну и дорога же была Р,EV (O'Neill's plays),,,,,
"чего тут плохой, если Р",EV (O'Neill's plays),,,,,
"Р, так и есть",EV (O'Neill's plays),,,,,
Х ни разу не Р,EV (O'Neill's plays),,,,,
теперь Х и сам не Р,EV (O'Neill's plays),,,,,
сколько Х писал,EV (O'Neill's plays),,,,,
вот бы никогда не Р,EV (O'Neill's plays),,,,,
Х ни за что не Р,EV (O'Neill's plays),,,,,
что до Х-а Р,EV (O'Neill's plays),,,,,
а насчет У-а - Р,EV (O'Neill's plays),,,,,
Х до смерти устал,EV (O'Neill's plays),,,,,
больше не придется Inf,EV (O'Neill's plays),,,,,
"красота, что и Р",EV (O'Neill's plays),,,,,
Х для своих лет и так много,EV (O'Neill's plays),,,,,
куда Х торопится?,EV (O'Neill's plays),,,,,
"знаешь что, Х, Р?",EV (O'Neill's plays),,,,,
"увидите, Р",EV (O'Neill's plays),,,,,
чего Х-у?,EV (O'Neill's plays),,,,,
Х больше не У,EV (O'Neill's plays),,,,,
иди лучше Р,EV (O'Neill's plays),,,,,
Р - лучше не надо,EV (O'Neill's plays),,,,,
"только и было разговору, что Р",EV (O'Neill's plays),,,,,
как Х-у все это обрыдло,EV (O'Neill's plays),,,,,
"только и знали, что Р",EV (O'Neill's plays),,,,,
"ты не подумай, что Р",EV (O'Neill's plays),,,,,
Х были на волоске,EV (O'Neill's plays),,,,,
"по правде сказать, Р",EV (O'Neill's plays),,,,,
Р за милую душу,EV (O'Neill's plays),,,,,
"сразу видно, что Р",EV (O'Neill's plays),,,,,
"а Х не думает, что Р",EV (O'Neill's plays),,,,,
"скажите, какой Х!",EV (O'Neill's plays),,,,,
чего Х упрямится,EV (O'Neill's plays),,,,,
почему бы не Р?,EV (O'Neill's plays),,,,,
Х-у какое дело?,EV (O'Neill's plays),,,,,
не позволят Х-у чертыхаться,EV (O'Neill's plays),,,,,
стоило Х-у Inf,EV (O'Neill's plays),,,,,
Х-у голову не морочьте,EV (O'Neill's plays),,,,,
твой-то Р,EV (O'Neill's plays),,,,,
ну Х уж очень разошелся,EV (O'Neill's plays),,,,,
"хотите, Р",EV (O'Neill's plays),,,,,
Х выставила У дурнем,EV (O'Neill's plays),,,,,
"Х, конечно, У, что Р",EV (O'Neill's plays),,,,,
ноги целовать у такой У,EV (O'Neill's plays),,,,,
"а как же Х-у не быть, если Р",EV (O'Neill's plays),,,,,
Х вот голову ломает,EV (O'Neill's plays),,,,,
Х и не подумал бы жить здесь,EV (O'Neill's plays),,,,,
но хватит об Х,EV (O'Neill's plays),,,,,
ну и страху же Х натерпелись,EV (O'Neill's plays),,,,,
и уж Х У-у поверит,EV (O'Neill's plays),,,,,
"видит бог, Р",EV (O'Neill's plays),,,,,
"кончилось дело тем, Р",EV (O'Neill's plays),,,,,
"не помню, что было дальше, но Р",EV (O'Neill's plays),,,,,
чем же Х виноват,EV (O'Neill's plays),,,,,
"с того дня, как Р",EV (O'Neill's plays),,,,,
Р стали друзьями,EV (O'Neill's plays),,,,,
не для этого Х родился,EV (O'Neill's plays),,,,,
"так и знала, что Р",EV (O'Neill's plays),,,,,
Х вам к лицу!,EV (O'Neill's plays),,,,,
когда Х наконец Р,EV (O'Neill's plays),,,,,
"не пойму, Р",EV (O'Neill's plays),,,,,
"что ни день, что ни вечер Р",EV (O'Neill's plays),,,,,
"то в Р1, то в Р2",EV (O'Neill's plays),,,,,
и все с А-ым Х-ом,EV (O'Neill's plays),,,,,
Р опят Х за свое,EV (O'Neill's plays),,,,,
"ну чего тут плохого, если Р",EV (O'Neill's plays),,,,,
"что, Х не имеет права Р",EV (O'Neill's plays),,,,,
"а ну-ка постой,Р",EV (O'Neill's plays),,,,,
при чем тут Х?,EV (O'Neill's plays),,,,,
не вздумай Inf,EV (O'Neill's plays),,,,,
"что Х-у неймется, Р",EV (O'Neill's plays),,,,,
Р доведешь своими разговорами,EV (O'Neill's plays),,,,,
"Р, больше не буду",EV (O'Neill's plays),,,,,
"ну а что, если Р?",EV (O'Neill's plays),,,,,
ну и с причудами Р,EV (O'Neill's plays),,,,,
"легче сказать, чем Inf",EV (O'Neill's plays),,,,,
Х морочит голову,EV (O'Neill's plays),,,,,
как Х только не подавитесь У-ом,EV (O'Neill's plays),,,,,
"уж что вбили, Х не переубедить",EV (O'Neill's plays),,,,,
у Х-а против У-а есть?,EV (O'Neill's plays),,,,,
на что Х-у У?,EV (O'Neill's plays),,,,,
стоит Х-у Р,EV (O'Neill's plays),,,,,
плохо Х У-а знает,EV (O'Neill's plays),,,,,
Р будь Х проклят,EV (O'Neill's plays),,,,,
"куда чаще , чем Р",EV (O'Neill's plays),,,,,
Х только болтать горазд,EV (O'Neill's plays),,,,,
чего только Х от У-а Р,EV (O'Neill's plays),,,,,
"а вот увидишь, Р",EV (O'Neill's plays),,,,,
не зря ведь Р,EV (O'Neill's plays),,,,,
"да уж если Х-а послушать, Р",EV (O'Neill's plays),,,,,
больно часто Х Р,EV (O'Neill's plays),,,,,
куда более А-й,EV (O'Neill's plays),,,,,
каждый из Х-а стоит десяти,EV (O'Neill's plays),,,,,
Х-у не мешает иметь Р,EV (O'Neill's plays),,,,,
сколько бы Х Р,EV (O'Neill's plays),,,,,
"не такому А-му Х-у, как У-у",EV (O'Neill's plays),,,,,
Х-у нельяз играть,EV (O'Neill's plays),,,,,
ох и дал бы Х У-у,EV (O'Neill's plays),,,,,
"Р, а то Х У-у покажет",EV (O'Neill's plays),,,,,
"не то Х не поглядит, что У Р",EV (O'Neill's plays),,,,,
пора Х-у понять,EV (O'Neill's plays),,,,,
что бы Х ни говорил,EV (O'Neill's plays),,,,,
что Х теперь скажет?,EV (O'Neill's plays),,,,,
Х говорит серьезно,EV (O'Neill's plays),,,,,
что на Х-а нашло?,EV (O'Neill's plays),,,,,
что Х-у мешает Р,EV (O'Neill's plays),,,,,
не вздумал ли Х,EV (O'Neill's plays),,,,,
кто Х-а просил вмешиваться,EV (O'Neill's plays),,,,,
и без Х-а тошно,EV (O'Neill's plays),,,,,
кто бы Х ни был,EV (O'Neill's plays),,,,,
тоже мне Р!,EV (O'Neill's plays),,,,,
дашь Х-у сказать хоть слово,EV (O'Neill's plays),,,,,
"кто Х-у сказал, что Р",EV (O'Neill's plays),,,,,
Х-у было что?,EV (O'Neill's plays),,,,,
хоть бы разок Р,EV (O'Neill's plays),,,,,
вот почему Р,EV (O'Neill's plays),,,,,
вот что заставило Р,EV (O'Neill's plays),,,,,
будь Х неладна,EV (O'Neill's plays),,,,,
будто не вижу Р,EV (O'Neill's plays),,,,,
"лучше, чтобы Р",EV (O'Neill's plays),,,,,
Р и не мозолила Х-у глаза,EV (O'Neill's plays),,,,,
Х тут ни при чем,EV (O'Neill's plays),,,,,
Х-у то что?,EV (O'Neill's plays),,,,,
зачем Х так говорит,EV (O'Neill's plays),,,,,
"поручусь, Р",EV (O'Neill's plays),,,,,
"если бы Х и пришел, но только для того",EV (O'Neill's plays),,,,,
"Х-у все равно, что Х с У-ом",EV (O'Neill's plays),,,,,
"вот и хорошо, что Р",EV (O'Neill's plays),,,,,
во всем виноват Х один,EV (O'Neill's plays),,,,,
что с Х-а возьмешь?,EV (O'Neill's plays),,,,,
"102. а кто сказал , что Р;",EV (O'Neill's plays),,,,,
103. нашел из-за чего Р;,EV (O'Neill's plays),,,,,
104. и не надоело Х-у Р;,EV (O'Neill's plays),,,,,
105. какой от Х-а толк;,EV (O'Neill's plays),,,,,
"106. нет на свете человека, который Р;",EV (O'Neill's plays),,,,,
107. так вот как ты Р;,EV (O'Neill's plays),,,,,
108. разве Х не видит;,EV (O'Neill's plays),,,,,
109. да чего с Х-ом толковать;,EV (O'Neill's plays),,,,,
110. Х ведь А-й;,EV (O'Neill's plays),,,,,
"111. хочешь, Р;",EV (O'Neill's plays),,,,,
112. не тащить же Х-а силком;,EV (O'Neill's plays),,,,,
113. что-то Х-у от этой У Р;,EV (O'Neill's plays),,,,,
"114. еще ненормальнее, чем Р;",EV (O'Neill's plays),,,,,
"115. вот не ждала, что Р;",EV (O'Neill's plays),,,,,
116. Х все-таки Р;,EV (O'Neill's plays),,,,,
117. все равно Р;,EV (O'Neill's plays),,,,,
118. хочешь - Р;,EV (O'Neill's plays),,,,,
"119. сказал бы, да не Р;",EV (O'Neill's plays),,,,,
120. Х лучше от У-а не прячься;,EV (O'Neill's plays),,,,,
121. дурак же Х;,EV (O'Neill's plays),,,,,
122. что Х-у здесь нужно?;,EV (O'Neill's plays),,,,,
123. на берегу в такую Р;,EV (O'Neill's plays),,,,,
"124. только вернись, Р;",EV (O'Neill's plays),,,,,
125. надо иметь нахальство Inf;,EV (O'Neill's plays),,,,,
126. уж не хочешь ли ты Р;,EV (O'Neill's plays),,,,,
127. тут Х-у и дорога;,EV (O'Neill's plays),,,,,
128. до чего же Х-у хотелось Р;,EV (O'Neill's plays),,,,,
129. подумать только Р;,EV (O'Neill's plays),,,,,
130. никто Х-а не держит;,EV (O'Neill's plays),,,,,
131. доводить Х-а до крайности;,EV (O'Neill's plays),,,,,
132. Х-у то какое дело?;,EV (O'Neill's plays),,,,,
133. Х У-а спрашивает;,EV (O'Neill's plays),,,,,
134. оставь Х-а в покое;,EV (O'Neill's plays),,,,,
135. с чего это Х?;,EV (O'Neill's plays),,,,,
136. Х ведь не У;,EV (O'Neill's plays),,,,,
137. стыда у Х-а нет;,EV (O'Neill's plays),,,,,
138. не видеть Х-а вовек;,EV (O'Neill's plays),,,,,
139. что с Х-ом говорить;,EV (O'Neill's plays),,,,,
"140. и Х-у сдается, Р;",EV (O'Neill's plays),,,,,
141. спасал Х-а от верной смерти;,EV (O'Neill's plays),,,,,
142. что Х У-у говорил?;,EV (O'Neill's plays),,,,,
143. Х хочет У-у добра;,EV (O'Neill's plays),,,,,
144. Р не имеет значения;,EV (O'Neill's plays),,,,,
"145. Х что, хочет, Р;",EV (O'Neill's plays),,,,,
146. обрушилось слишком Р;,EV (O'Neill's plays),,,,,
147. вбивай Х-у это себе ;,EV (O'Neill's plays),,,,,
"148. ах, вот где Х;",EV (O'Neill's plays),,,,,
149. кроме Х-а никого нет;,EV (O'Neill's plays),,,,,
150. сам-то Х кто?;,EV (O'Neill's plays),,,,,
151. да как Х смел?;,EV (O'Neill's plays),,,,,
152. к тому же Х Р;,EV (O'Neill's plays),,,,,
153. должны были б уже Р;,EV (O'Neill's plays),,,,,
154. не многовато ли для Х-а ;,EV (O'Neill's plays),,,,,
155. пора бы Х-у уже и Inf;,EV (O'Neill's plays),,,,,
156. Х смеет надеяться;,EV (O'Neill's plays),,,,,
157. силюсь вспомнить Р;,EV (O'Neill's plays),,,,,
158. что Х-у это даст;,EV (O'Neill's plays),,,,,
159. оставьте Х-а одного;,EV (O'Neill's plays),,,,,
"160. Р, это к лучшему;",EV (O'Neill's plays),,,,,
161. с Х-ом кончено;,EV (O'Neill's plays),,,,,
162. а Х-у не пора в Р?;,EV (O'Neill's plays),,,,,
163. с чего это Р?;,EV (O'Neill's plays),,,,,
"164. голову, что ли, потерял от Р?;",EV (O'Neill's plays),,,,,
165. Х забывается;,EV (O'Neill's plays),,,,,
166. кому нужна Х-а помощь;,EV (O'Neill's plays),,,,,
167. Х-у-то что?;,EV (O'Neill's plays),,,,,
168. а Х-у что?;,EV (O'Neill's plays),,,,,
169. чтоб Х не слышал;,EV (O'Neill's plays),,,,,
"170. эй, Х!;",EV (O'Neill's plays),,,,,
"171. Х что, Р?;",EV (O'Neill's plays),,,,,
172. а вот и Х;,EV (O'Neill's plays),,,,,
173. а Х-у все равно;,EV (O'Neill's plays),,,,,
"174. вот было бы здорово , Р;",EV (O'Neill's plays),,,,,
175. или Х измолочу У;,EV (O'Neill's plays),,,,,
176. перестань Inf ;,EV (O'Neill's plays),,,,,
177. а Х не обращает внимания;,EV (O'Neill's plays),,,,,
"178. Р, понимаешь?;",EV (O'Neill's plays),,,,,
179. поглядите-ка на Х-а!;,EV (O'Neill's plays),,,,,
"180. вот это да, Р;",EV (O'Neill's plays),,,,,
181. не могла получше Р;,EV (O'Neill's plays),,,,,
"182. Р, не видишь что ли?;",EV (O'Neill's plays),,,,,
"183. скорей, а то Р;",EV (O'Neill's plays),,,,,
184. Х-то и привел У;,EV (O'Neill's plays),,,,,
185. у Х-а повернется язык;,EV (O'Neill's plays),,,,,
186. и да поразит Х-а самая черная кара;,EV (O'Neill's plays),,,,,
"187. да как же, если Р;",EV (O'Neill's plays),,,,,
"188. и беда, что не мог с Х-ом Р;",EV (O'Neill's plays),,,,,
"189. Р, не смотря ни на что;",EV (O'Neill's plays),,,,,
190. Х-у придется поверить У-у на слово;,EV (O'Neill's plays),,,,,
191. все равно Х Р;,EV (O'Neill's plays),,,,,
"192. поклялся, разве Х не слышал?;",EV (O'Neill's plays),,,,,
"193. Р, что Х-у до этого?;",EV (O'Neill's plays),,,,,
194. Р и в самом деле пора Inf;,EV (O'Neill's plays),,,,,
"195. насчет того, что Р;",EV (O'Neill's plays),,,,,
196. счастливого У-а!;,EV (O'Neill's plays),,,,,
"1. но боюсь, что Р;",EV (O'Neill's plays),,,,,
2. что же это Х вздумал?;,EV (O'Neill's plays),,,,,
"3. Р, разве нет?;",EV (O'Neill's plays),,,,,
4. выше голову и Р;,EV (O'Neill's plays),,,,,
5. хоть глаз выколи - Р;,EV (O'Neill's plays),,,,,
6. Р до чего красиво;,EV (O'Neill's plays),,,,,
"7. Р, как Х;",EV (O'Neill's plays),,,,,
8. Х и забыл;,EV (O'Neill's plays),,,,,
9. и все для того Р;,EV (O'Neill's plays),,,,,
10. Х-у было бы нелегко бросить;,EV (O'Neill's plays),,,,,
"11. уж два месяца, как от него Р;",EV (O'Neill's plays),,,,,
"12. Р, а то и больше;",EV (O'Neill's plays),,,,,
13. с самой женитьбы на Р;,EV (O'Neill's plays),,,,,
14. а что если Р?;,EV (O'Neill's plays),,,,,
15. и труда Х-у не составит;,EV (O'Neill's plays),,,,,
16. Х есть Х;,EV (O'Neill's plays),,,,,
17. вот Х - разве У разрешил;,EV (O'Neill's plays),,,,,
18. Х и себя загоняет;,EV (O'Neill's plays),,,,,
19. не Х ли у У ее оттяпал;,EV (O'Neill's plays),,,,,
"20. Р, что к чему;",EV (O'Neill's plays),,,,,
21. никогда ни на что не Р;,EV (O'Neill's plays),,,,,
22. рано или поздно Р;,EV (O'Neill's plays),,,,,
23. давай-ка Р;,EV (O'Neill's plays),,,,,
24. Х ненадолго;,EV (O'Neill's plays),,,,,
"25. Р, если на то пошло;",EV (O'Neill's plays),,,,,
26. в такой вечер только Inf;,EV (O'Neill's plays),,,,,
27. весь в Х;,EV (O'Neill's plays),,,,,
28. у Х-а нет дела Р;,EV (O'Neill's plays),,,,,
29. это Х!;,EV (O'Neill's plays),,,,,
30. за кого Х У-а принимает?;,EV (O'Neill's plays),,,,,
31. все назло Х-у;,EV (O'Neill's plays),,,,,
"32. Р, а то как бы и не Р;",EV (O'Neill's plays),,,,,
"33. что ж, Р?;",EV (O'Neill's plays),,,,,
34. а Х-у то что;,EV (O'Neill's plays),,,,,
35. не такой уж Х пропащий;,EV (O'Neill's plays),,,,,
36. уж Х-то Р;,EV (O'Neill's plays),,,,,
